name,path,invocation_count,number
remove_choice,larpmanager/utils/common.py,2,1
remove_event_role_cache,larpmanager/cache/role.py,2,1
remove_html_tags,larpmanager/cache/text_fields.py,2,1
remove_run_pdf,larpmanager/utils/pdf.py,2,1
replace_char_names,larpmanager/models/writing.py,2,1
replace_data,larpmanager/utils/pdf.py,2,1
reset_assoc_features,larpmanager/cache/feature.py,2,1
reset_cache_config_run,larpmanager/cache/run.py,2,1
reset_character_registration_cache,larpmanager/cache/character.py,2,1
reset_event_cache_all,larpmanager/cache/character.py,2,1
reset_guides_cache,larpmanager/cache/wwyltd.py,2,1
reset_tutorials_cache,larpmanager/cache/wwyltd.py,2,1
retrieve_cache_text_field,larpmanager/utils/writing.py,2,1
rmdir,larpmanager/utils/common.py,2,1
round_to_two_significant_digits,larpmanager/utils/common.py,2,1
round_up_to_two_decimals,larpmanager/accounting/payment.py,2,1
_all_element_configs,larpmanager/cache/config.py,2,1
_css,larpmanager/forms/base.py,2,1
_permissions_role,larpmanager/forms/utils.py,2,1
_po,larpmanager/management/commands/translate.py,2,1
_registration,larpmanager/views/user/registration.py,2,1
_version,larpmanager/utils/edit.py,2,1
send_mail_batch,larpmanager/views/orga/member.py,2,1
send_mail_exec,larpmanager/utils/tasks.py,2,1
set_config_accounting,larpmanager/forms/association.py,2,1
set_config_accounting,larpmanager/forms/event.py,2,1
set_configs,larpmanager/forms/association.py,2,1
set_configs,larpmanager/forms/association.py,2,2
set_configs,larpmanager/forms/config.py,2,1
set_configs,larpmanager/forms/event.py,2,1
set_configs,larpmanager/forms/event.py,2,2
set_configs,larpmanager/forms/event.py,2,3
set_configs,larpmanager/forms/event.py,2,4
set_exclude,larpmanager/forms/utils.py,2,1
set_exclude,larpmanager/forms/utils.py,2,2
set_initial,larpmanager/forms/accounting.py,2,1
show_char,larpmanager/templatetags/show_tags.py,2,1
show_char,larpmanager/views/user/character.py,2,1
sign_hmac256,larpmanager/accounting/gateway.py,2,1
translate_entry,larpmanager/management/commands/translate.py,2,1
unique_invoice_cod,larpmanager/accounting/payment.py,2,1
update_assoc_text,larpmanager/utils/text.py,2,1
update_assoc_text_def,larpmanager/utils/text.py,2,1
update_characters_experience_on_ability_change,larpmanager/utils/experience.py,2,1
update_characters_experience_on_modifier_change,larpmanager/utils/experience.py,2,1
update_characters_experience_on_rule_change,larpmanager/utils/experience.py,2,1
update_event_cache_all,larpmanager/cache/character.py,2,1
update_event_cache_all_runs,larpmanager/cache/character.py,2,1
update_event_text,larpmanager/utils/text.py,2,1
update_event_text_def,larpmanager/utils/text.py,2,1
update_member,larpmanager/utils/auth.py,2,1
update_registration_accounting_cache,larpmanager/cache/accounting.py,2,1
update_registration_status_bkg,larpmanager/mail/registration.py,2,1
update_text_fields_cache,larpmanager/cache/text_fields.py,2,1
welcome_user,larpmanager/utils/common.py,2,1
what_would_you_like,larpmanager/views/manage.py,2,1
writing_option_edit,larpmanager/views/orga/character.py,2,1
__call__,larpmanager/middleware/association.py,1,1
__call__,larpmanager/middleware/broken.py,1,1
__call__,larpmanager/middleware/exception.py,1,1
__call__,larpmanager/middleware/locale.py,1,1
__call__,larpmanager/middleware/profiler.py,1,1
__call__,larpmanager/middleware/token.py,1,1
__call__,larpmanager/middleware/url.py,1,1
__call__,larpmanager/models/utils.py,1,1
__call__,larpmanager/utils/validators.py,1,1
__str__,larpmanager/models/access.py,1,1
__str__,larpmanager/models/access.py,1,2
__str__,larpmanager/models/accounting.py,1,1
__str__,larpmanager/models/accounting.py,1,2
__str__,larpmanager/models/accounting.py,1,3
__str__,larpmanager/models/accounting.py,1,4
__str__,larpmanager/models/accounting.py,1,5
__str__,larpmanager/models/accounting.py,1,6
__str__,larpmanager/models/association.py,1,1
__str__,larpmanager/models/association.py,1,2
__str__,larpmanager/models/base.py,1,1
__str__,larpmanager/models/base.py,1,2
__str__,larpmanager/models/base.py,1,3
__str__,larpmanager/models/casting.py,1,1
__str__,larpmanager/models/casting.py,1,2
__str__,larpmanager/models/casting.py,1,3
__str__,larpmanager/models/casting.py,1,4
__str__,larpmanager/models/casting.py,1,5
__str__,larpmanager/models/event.py,1,1
__str__,larpmanager/models/event.py,1,2
__str__,larpmanager/models/event.py,1,3
__str__,larpmanager/models/event.py,1,4
__str__,larpmanager/models/event.py,1,5
__str__,larpmanager/models/event.py,1,6
__str__,larpmanager/models/event.py,1,7
__str__,larpmanager/models/form.py,1,1
__str__,larpmanager/models/form.py,1,2
__str__,larpmanager/models/form.py,1,3
__str__,larpmanager/models/form.py,1,4
__str__,larpmanager/models/form.py,1,5
__str__,larpmanager/models/form.py,1,6
__str__,larpmanager/models/form.py,1,7
__str__,larpmanager/models/form.py,1,8
__str__,larpmanager/models/member.py,1,1
__str__,larpmanager/models/member.py,1,2
__str__,larpmanager/models/member.py,1,3
__str__,larpmanager/models/member.py,1,4
__str__,larpmanager/models/member.py,1,5
__str__,larpmanager/models/miscellanea.py,1,1
__str__,larpmanager/models/miscellanea.py,1,2
__str__,larpmanager/models/miscellanea.py,1,3
__str__,larpmanager/models/miscellanea.py,1,4
__str__,larpmanager/models/miscellanea.py,1,5
__str__,larpmanager/models/miscellanea.py,1,6
__str__,larpmanager/models/miscellanea.py,1,7
__str__,larpmanager/models/miscellanea.py,1,8
__str__,larpmanager/models/miscellanea.py,1,9
__str__,larpmanager/models/miscellanea.py,1,10
__str__,larpmanager/models/miscellanea.py,1,11
__str__,larpmanager/models/miscellanea.py,1,12
__str__,larpmanager/models/miscellanea.py,1,13
__str__,larpmanager/models/miscellanea.py,1,14
__str__,larpmanager/models/miscellanea.py,1,15
__str__,larpmanager/models/miscellanea.py,1,16
__str__,larpmanager/models/registration.py,1,1
__str__,larpmanager/models/registration.py,1,2
__str__,larpmanager/models/registration.py,1,3
__str__,larpmanager/models/registration.py,1,4
__str__,larpmanager/models/registration.py,1,5
__str__,larpmanager/models/writing.py,1,1
__str__,larpmanager/models/writing.py,1,2
__str__,larpmanager/models/writing.py,1,3
__str__,larpmanager/models/writing.py,1,4
__str__,larpmanager/models/writing.py,1,5
__str__,larpmanager/models/writing.py,1,6
__str__,larpmanager/models/writing.py,1,7
